budget,id,original_language,popularity,release_date,revenue,title,vote_average,vote_count,budget_over_rating
45000000,11359,en,10.673296,1995-07-14,0.0,the_indian_in_the_cupboard,5.9,136.0,0.0
20000000,17182,en,4.733526,1996-01-12,0.0,eye_for_an_eye,5.8,65.0,0.0
0,2054,en,7.137117,1995-12-29,106269971.0,mr._holland's_opus,6.9,115.0,0.0
0,10607,en,11.700115,1996-01-12,0.0,don't_be_a_menace_to_south_central_while_drinking_your_juice_in_the_hood,6.2,192.0,0.0
0,19760,en,2.174487,1996-01-12,0.0,two_if_by_sea,4.5,14.0,0.0
15000000,9536,en,6.387469,1996-01-12,0.0,bio-dome,4.4,110.0,0.0
0,11525,en,2.49535,1996-01-12,2409225.0,lawnmower_man_2:_beyond_cyberspace,2.8,32.0,0.0
0,40628,en,4.046208,1995-10-22,0.0,two_bits,5.4,11.0,0.0
0,4482,fr,2.518051,1995-02-08,0.0,french_twist,6.0,43.0,0.0
3500000,10634,en,14.56965,1995-04-26,28215918.0,friday,7.0,513.0,0.0
19000000,755,en,15.339153,1996-01-19,25836616.0,from_dusk_till_dawn,6.9,1644.0,0.0
50000000,11859,en,5.912223,1995-11-03,11534477.0,fair_game,4.1,54.0,0.0
0,28387,en,3.367276,1995-10-06,718490.0,kicking_and_screaming,7.0,36.0,0.0
0,48750,fr,1.479446,1995-03-22,0.0,les_miserables,6.6,8.0,0.0
0,20927,en,10.412194,1996-01-26,19030691.0,bed_of_roses,5.1,27.0,0.0
15000000,36929,en,2.936443,1996-01-26,2042530.0,big_bully,3.9,16.0,0.0
20000000,9102,en,12.758848,1995-09-08,5781885.0,screamers,6.1,154.0,0.0
0,124626,en,0.133893,1995-02-18,0.0,nico_icon,7.3,3.0,0.0
0,27526,en,5.756462,1995-11-15,0.0,the_crossing_guard,6.1,74.0,0.0
44000000,9623,en,6.010579,1996-02-02,0.0,the_juror,5.5,91.0,0.0
0,46785,fa,1.196256,1995-01-01,0.0,the_white_balloon,7.5,20.0,0.0
8000000,400,en,4.486179,1995-12-01,529766.0,things_to_do_in_denver_when_you're_dead,6.7,87.0,0.0
900000,880,nl,2.030174,1995-09-12,0.0,antonia's_line,7.2,26.0,0.0
0,146599,en,0.252287,1996-01-26,0.0,once_upon_a_time..._when_we_were_colored,4.5,2.0,0.0
0,188588,en,0.531159,1995-11-22,0.0,last_summer_in_the_hamptons,0.0,0.0,0.0
0,8447,en,2.15166,1995-09-10,0.0,angels_and_insects,6.3,17.0,0.0
38000000,10534,en,9.568604,1996-02-02,10300000.0,white_squall,6.3,86.0,0.0
16000000,17414,en,4.814825,1996-01-12,0.0,dunston_checks_in,5.1,59.0,0.0
0,13997,en,8.963037,1996-02-01,32.0,black_sheep,6.0,124.0,0.0
8169363,2086,en,6.848591,1995-11-22,8175346.0,nick_of_time,6.1,190.0,0.0
0,61548,en,0.411424,1995-09-14,0.0,the_journey_of_august_king,6.7,3.0,0.0
47000000,9095,en,12.866139,1996-02-23,12379402.0,mary_reilly,5.7,77.0,0.0
14000000,12158,en,9.071127,1995-10-26,19800000.0,vampire_in_brooklyn,4.5,113.0,0.0
0,9283,en,4.670562,1996-02-09,0.0,beautiful_girls,6.6,103.0,0.0
50000000,9208,en,14.957626,1996-02-09,150270147.0,broken_arrow,5.7,459.0,0.0
0,40154,en,0.513391,1995-12-01,0.0,a_midwinter's_tale,7.5,6.0,0.0
3000000,406,fr,12.108196,1995-05-31,0.0,la_haine,7.9,695.0,0.0
0,45549,en,2.657647,1994-12-06,0.0,shopping,5.6,13.0,0.0
0,63076,en,0.638211,1995-12-27,0.0,heidi_fleiss:_hollywood_madam,6.8,4.0,0.0
0,11062,en,4.807223,1996-02-16,0.0,city_hall,6.0,67.0,0.0
7000000,13685,en,6.904831,1996-02-21,560069.0,bottle_rocket,6.8,285.0,0.0
0,47475,en,3.329264,1996-02-16,0.0,mr._wrong,3.3,16.0,0.0
18000000,2045,en,2.464425,1996-02-23,0.0,unforgettable,5.3,22.0,0.0
12000000,9614,en,9.592265,1996-02-16,41205099.0,happy_gilmore,6.5,767.0,0.0
24000000,688,en,5.951077,1995-05-28,182016617.0,the_bridges_of_madison_county,7.3,397.0,0.0
0,11907,de,1.015068,1994-11-07,0.0,nobody_loves_me,5.1,5.0,0.0
0,10874,en,6.902423,1996-02-16,34327391.0,muppet_treasure_island,6.5,93.0,0.0
0,89333,en,0.976707,1995-12-08,0.0,catwalk,7.0,2.0,0.0
0,96357,en,0.001346,1995-05-20,0.0,headless_body_in_topless_bar,0.0,0.0,0.0
72000000,197,en,20.755149,1995-05-24,210000000.0,braveheart,7.7,3404.0,0.0
1300000,103,en,14.092713,1976-02-07,28262574.0,taxi_driver,8.1,2632.0,0.0
7500000,33542,cn,12.314278,1995-01-30,32392047.0,rumble_in_the_bronx,6.5,245.0,0.0
35000000,43566,en,2.938293,1996-02-23,0.0,before_and_after,5.8,37.0,0.0
0,71754,en,0.372697,1995-09-13,0.0,margaret's_museum,7.5,2.0,0.0
13365000,43612,en,1.254885,1995-01-31,0.0,happiness_is_in_the_field,7.0,23.0,0.0
0,51352,en,0.243986,1995-06-08,1.0,anne_frank_remembered,7.3,4.0,0.0
0,16934,en,6.178497,1995-01-20,0.0,the_young_poisoner's_handbook,6.9,19.0,0.0
0,10324,en,2.891918,1996-03-08,0.0,if_lucy_fell,5.4,11.0,0.0
25000000,78406,en,1.522412,1995-09-29,6278139.0,steal_big_steal_little,5.1,7.0,0.0
0,55731,en,1.317878,1996-03-22,0.0,race_the_sun,5.2,21.0,0.0
0,32119,en,0.86539,1992-12-06,0.0,the_boys_of_st._vincent,7.0,7.0,0.0
40000000,11066,en,6.506983,1992-06-30,70100000.0,boomerang,5.4,139.0,0.0
0,11104,cn,6.778979,1994-07-14,0.0,chungking_express,7.9,249.0,0.0
0,37975,it,1.702639,1995-09-21,0.0,the_star_maker,6.8,29.0,0.0
7000000,2074,en,5.579088,1996-03-22,14702438.0,flirting_with_disaster,6.3,66.0,0.0
17000000,27793,en,6.252377,1994-10-26,0.0,the_neverending_story_iii:_escape_from_fantasia,4.4,105.0,0.0
0,44284,ar,0.406754,1994-09-30,0.0,the_silences_of_the_palace,4.3,3.0,0.0
0,290157,en,0.001178,1995-01-01,0.0,jupiter's_wife,0.0,0.0,0.0
0,110972,en,0.699066,1996-02-09,0.0,pie_in_the_sky,7.0,2.0,0.0
0,32622,en,2.197439,1995-01-01,0.0,angela,5.6,9.0,0.0
0,73067,it,0.637554,1995-11-22,0.0,frankie_starlight,5.4,4.0,0.0
50000000,11863,en,11.418917,1995-10-13,9851610.0,jade,5.1,45.0,0.0
0,55475,es,0.291021,1995-08-16,0.0,nueba_yol,5.5,1.0,0.0
0,124636,en,0.001838,1995-08-01,0.0,sonic_outlaws,0.0,0.0,0.0
0,9101,en,5.184977,1996-03-01,0.0,down_periscope,5.6,110.0,0.0
0,123360,en,0.276401,1995-09-08,0.0,from_the_journals_of_jean_seberg,6.5,2.0,0.0
0,5757,en,0.540436,1995-09-15,209935.0,man_of_the_year,3.8,2.0,0.0
0,39428,en,0.370342,1995-08-23,0.0,the_neon_bible,7.2,5.0,0.0
0,124639,en,0.001205,1995-08-01,0.0,target,0.0,0.0,0.0
60000000,9302,en,3.402749,1996-03-01,0.0,up_close_&_personal,5.9,51.0,0.0
31000000,11000,en,6.49968,1996-03-08,185260553.0,the_birdcage,6.7,303.0,0.0
0,249882,en,0.918504,1995-10-12,0.0,virgin_mary,7.0,2.0,0.0
0,16388,en,2.039196,1995-08-09,0.0,the_brothers_mcmullen,6.3,23.0,0.0
19000000,9737,en,9.262184,1995-04-07,141407024.0,bad_boys,6.5,1729.0,0.0
0,30765,en,2.375865,1995-08-25,0.0,the_amazing_panda_adventure,5.0,31.0,0.0
0,10474,en,7.415144,1995-04-21,0.0,the_basketball_diaries,7.2,472.0,0.0
4000000,22279,en,0.922958,1995-07-21,851545.0,an_awfully_big_adventure,6.0,11.0,0.0
0,30157,en,1.759012,1994-08-05,0.0,amateur,6.5,21.0,0.0
52000000,568,en,18.761467,1995-06-30,355237933.0,apollo_13,7.3,1637.0,0.0
28000000,11780,en,10.193549,1995-04-13,31596911.0,rob_roy,6.5,151.0,0.0
0,34996,en,3.137285,1995-01-10,0.0,the_addiction,6.4,46.0,0.0
100000000,414,en,13.321354,1995-06-16,336529144.0,batman_forever,5.2,1529.0,0.0
0,649,fr,10.142662,1967-05-24,0.0,belle_de_jour,7.3,163.0,0.0
0,1873,en,2.04189,1995-05-24,0.0,beyond_rangoon,6.4,21.0,0.0
2000000,5894,en,11.528147,1995-09-15,1275000.0,blue_in_the_face,6.8,28.0,0.0
11000000,1775,en,5.391556,1995-06-08,178104.0,canadian_bacon,5.9,57.0,0.0
50000000,8839,en,12.812539,1995-05-26,287928194.0,casper,6.0,1045.0,0.0
25000000,20649,en,4.558992,1995-09-15,13071518.0,clockers,6.8,69.0,0.0
50000000,10329,en,7.260574,1995-06-09,152022101.0,congo,5.0,214.0,0.0
53000000,8963,en,8.657365,1995-05-12,157387195.0,crimson_tide,7.0,508.0,0.0
0,26564,en,3.620388,1994-09-10,3174695.0,crumb,7.6,71.0,0.0
7000000,8068,en,6.950458,1995-08-25,25405445.0,desperado,6.8,898.0,0.0
27000000,8512,en,4.646132,1995-09-15,16140822.0,devil_in_a_blue_dress,6.3,88.0,0.0
90000000,1572,en,15.138855,1995-05-19,366101666.0,die_hard:_with_a_vengeance,6.9,2094.0,0.0
0,13552,en,7.120806,1995-10-27,0.0,the_doom_generation,5.6,57.0,0.0
0,259209,en,0.523575,1995-10-12,0.0,feast_of_july,0.0,0.0,0.0
55000000,6520,en,15.178338,1995-07-07,127600435.0,first_knight,5.9,319.0,0.0
0,9073,en,7.575098,1995-07-19,0.0,free_willy_2_-_the_adventure_home,5.5,130.0,0.0
20000000,10428,en,14.810519,1995-09-14,7563728.0,hackers,6.2,406.0,0.0
0,17447,en,3.196456,1995-08-18,0.0,jeffrey,6.5,19.0,0.0
25000000,9886,en,11.715868,1995-05-26,19075720.0,johnny_mnemonic,5.5,380.0,0.0
90000000,9482,en,8.184815,1995-06-30,113493481.0,judge_dredd,5.4,643.0,0.0
0,19326,en,3.676921,1995-04-12,17014653.0,jury_duty,4.0,34.0,0.0
1500000,9344,en,4.877872,1995-07-28,7412216.0,kids,6.8,280.0,0.0
500000,9071,en,10.058329,1995-01-20,1148752.0,living_in_oblivion,7.2,64.0,0.0
0,8973,en,4.102409,1995-08-25,0.0,lord_of_illusions,5.9,87.0,0.0
0,15730,en,0.354014,1993-05-20,0.0,love_&_human_remains,7.0,7.0,0.0
0,47608,en,2.624771,1995-05-26,15453274.0,mad_love,5.5,27.0,0.0
6000000,2293,en,8.25547,1995-10-20,2122561.0,mallrats,6.8,400.0,0.0
15000000,9070,en,7.024227,1995-06-30,66000000.0,mighty_morphin_power_rangers:_the_movie,5.2,153.0,0.0
0,68274,en,1.01115,1995-09-29,0.0,moonlight_and_valentino,5.6,10.0,0.0
2,48787,en,2.466066,1995-09-28,1.0,mute_witness,6.4,36.0,0.0
0,34574,en,7.720056,1994-09-13,0.0,nadja,5.9,12.0,0.0
22000000,1642,en,13.304342,1995-07-28,110627965.0,the_net,5.6,359.0,0.0
0,11472,en,8.482834,1995-07-12,69660733.0,nine_months,5.5,171.0,0.0
150000,36196,en,1.165039,1995-06-09,472370.0,party_girl,5.8,14.0,0.0
8,11980,en,10.187623,1995-09-01,16.0,the_prophecy,6.4,139.0,0.0
0,58372,en,0.119713,1995-11-17,0.0,reckless,10.0,1.0,0.0
0,32646,en,8.180047,1995-06-23,0.0,safe,7.2,62.0,0.0
50000000,10533,en,6.752119,1995-10-13,10382407.0,the_scarlet_letter,5.5,111.0,0.0
0,56088,en,0.159596,1995-08-25,0.0,the_show,5.3,2.0,0.0
45000000,10802,en,17.502375,1995-09-22,20350754.0,showgirls,4.9,261.0,0.0
7000000,10149,en,5.552946,1995-06-09,8349430.0,smoke,7.2,115.0,0.0
0,18402,en,3.743212,1995-08-04,50892160.0,something_to_talk_about,5.7,60.0,0.0
35000000,9348,en,13.492845,1995-07-07,113374103.0,species,5.5,457.0,0.0
0,139408,en,0.913522,1995-09-15,0.0,the_stars_fell_on_henrietta,6.6,6.0,0.0
42000000,281,en,11.223055,1995-10-13,7959291.0,strange_days,6.8,334.0,0.0
0,5967,fr,8.133881,1964-02-19,0.0,the_umbrellas_of_cherbourg,7.6,119.0,0.0
14000000,79593,en,1.820419,1995-09-08,5780000.0,the_tie_that_binds,4.6,9.0,0.0
0,47939,en,11.002046,1995-10-27,7025496.0,three_wishes,6.1,18.0,0.0
0,36834,en,4.546552,1995-11-02,339889.0,total_eclipse,6.5,112.0,0.0
0,9090,en,7.653446,1995-09-07,47774193.0,"to_wong_foo,_thanks_for_everything!_julie_newmar",6.3,117.0,0.0
60000000,3512,en,7.490247,1995-07-13,104324083.0,under_siege_2:_dark_territory,5.6,217.0,0.0
0,52856,en,2.881689,1995-09-15,0.0,unstrung_heroes,6.4,9.0,0.0
0,77350,en,0.786023,1995-08-11,0.0,unzipped,6.0,6.0,0.0
20000000,9560,en,9.715639,1995-08-11,50012507.0,a_walk_in_the_clouds,6.5,168.0,0.0
175000000,9804,en,16.885184,1995-07-28,264218220.0,waterworld,5.9,1017.0,0.0
8000000,31611,en,1.834099,1995-12-01,0.0,white_man's_burden,5.1,25.0,0.0
30000000,65796,en,8.922139,1995-12-01,0.0,wild_bill,5.9,27.0,0.0
0,49805,en,3.727644,1994-10-12,0.0,the_browning_version,6.0,11.0,0.0
0,26258,en,3.287036,1995-08-04,0.0,bushwhacked,4.9,29.0,0.0
2800000,50797,ru,2.486073,1994-05-01,2616503.0,burnt_by_the_sun,6.7,35.0,0.0
0,19155,en,3.525649,1994-06-09,763847.0,before_the_rain,7.7,45.0,0.0
2500000,76,en,11.304979,1995-01-27,5535405.0,before_sunrise,7.7,984.0,0.0
10000000,11017,en,6.638116,1995-02-10,26488734.0,billy_madison,6.2,464.0,0.0
0,37141,en,2.761837,1995-10-17,0.0,the_babysitter,4.7,27.0,0.0
21000000,9382,en,3.030309,1995-02-03,23450000.0,boys_on_the_side,6.3,48.0,0.0
0,6715,en,2.686342,1995-04-21,0.0,the_cure,7.2,58.0,0.0
0,18256,en,2.26977,1995-08-04,0.0,castle_freak,5.8,40.0,0.0
0,22625,en,2.605521,1995-03-16,0.0,circle_of_friends,6.5,30.0,0.0
27000,2292,en,10.513367,1994-09-13,3151130.0,clerks,7.4,769.0,0.0
25000000,1909,en,7.438934,1994-10-01,22200000.0,don_juan_demarco,6.3,184.0,0.0
55000000,8984,en,11.812244,1994-12-09,214015089.0,disclosure,5.9,217.0,0.0
0,61813,en,0.155859,1995-01-01,0.0,dream_man,2.5,1.0,0.0
45000000,4954,en,9.579155,1994-12-08,0.0,drop_zone,5.1,91.0,0.0
0,62488,it,0.710671,1995-04-28,0.0,destiny_turns_on_the_radio,5.3,9.0,0.0
0,10531,en,5.484156,1994-05-04,0.0,death_and_the_maiden,7.1,92.0,0.0
0,11929,en,5.8025,1995-03-24,0.0,dolores_claiborne,7.1,183.0,0.0
16000000,8467,en,9.844558,1994-12-16,247275374.0,dumb_and_dumber,6.5,1894.0,0.0
0,10451,zh,4.860016,1994-08-03,7294403.0,eat_drink_man_woman,7.5,76.0,0.0
0,20156,en,5.378467,1994-09-24,0.0,exotica,6.5,64.0,0.0
0,18395,en,4.322726,1994-10-14,6841570.0,exit_to_eden,4.3,28.0,0.0
18000000,522,en,11.720358,1994-09-27,5887457.0,ed_wood,7.3,639.0,0.0
0,397,en,9.146544,1995-05-05,0.0,french_kiss,6.2,179.0,0.0
0,10525,en,16.236745,1995-05-19,0.0,forget_paris,6.1,38.0,0.0
0,27985,en,2.657337,1995-01-13,0.0,far_from_home:_the_adventures_of_yellow_dog,5.6,27.0,0.0
0,15789,en,10.177977,1995-04-07,35348597.0,a_goofy_movie,6.7,404.0,0.0
15000000,27303,en,8.182165,1995-03-03,12201255.0,hideaway,5.0,24.0,0.0
0,21183,en,4.953936,1995-06-02,0.0,fluke,6.6,48.0,0.0
0,10954,fr,8.935058,1994-12-07,0.0,farinelli,5.9,20.0,0.0
0,47867,en,0.398924,1995-05-12,3992809.0,gordy,3.0,4.0,0.0
0,43475,en,0.090452,1995-12-01,0.0,gumby:_the_movie,5.0,2.0,0.0
0,72031,en,1.012197,1994-09-16,0.0,the_glass_shield,5.4,9.0,0.0
700000,14275,en,9.47666,1994-09-12,7830611.0,hoop_dreams,7.7,91.0,0.0
5000000,1024,en,9.438042,1994-09-02,3049135.0,heavenly_creatures,6.9,299.0,0.0
10500000,17207,en,2.688562,1995-01-06,26325256.0,houseguest,6.0,17.0,0.0
120,13701,en,7.983666,1994-12-16,0.0,immortal_beloved,6.9,90.0,0.0
0,14819,en,9.546707,1995-02-17,17689177.0,heavyweights,6.0,97.0,0.0
0,32631,en,2.756986,1995-02-24,0.0,the_hunted,6.0,25.0,0.0
25000000,11777,en,5.146352,1994-12-24,0.0,i.q.,5.9,112.0,0.0
60000000,628,en,11.970205,1994-11-11,223664608.0,interview_with_the_vampire,7.2,1558.0,0.0
14000000,87729,en,1.596058,1995-03-31,2474000.0,jefferson_in_paris,5.2,10.0,0.0
0,18713,en,0.748846,1995-02-03,0.0,the_jerky_boys,4.8,10.0,0.0
60000000,6280,en,6.710215,1994-11-22,37000000.0,junior,4.7,381.0,0.0
0,9061,en,9.195256,1995-02-17,0.0,just_cause,6.0,124.0,0.0
0,37108,en,5.874511,1995-08-11,0.0,a_kid_in_king_arthur's_court,4.3,40.0,0.0
40000000,6071,en,7.797512,1995-04-21,0.0,kiss_of_death,5.7,83.0,0.0
11000000,11,en,42.149697,1977-05-25,775398007.0,star_wars,8.1,6778.0,0.0
18000000,9587,en,9.774994,1994-12-21,0.0,little_women,7.0,222.0,0.0
17000000,19101,en,7.731725,1995-05-10,0.0,a_little_princess,7.4,207.0,0.0
0,49980,en,0.84508,1994-02-18,0.0,ladybird_ladybird,7.4,14.0,0.0
10000000,17961,fr,1.948315,1994-02-16,0.0,l'enfer,6.6,22.0,0.0
2000000,18183,es,4.126083,1992-04-16,21665468.0,like_water_for_chocolate,6.6,70.0,0.0
30000000,4476,en,12.199047,1994-12-16,160638883.0,legends_of_the_fall,7.2,636.0,0.0
0,11008,en,9.253362,1995-03-24,0.0,major_payne,6.1,164.0,0.0
0,47504,en,1.861292,1994-10-27,0.0,little_odessa,6.4,31.0,0.0
0,32325,en,1.788829,1994-06-08,0.0,mi_vida_loca,5.7,9.0,0.0
60000000,43742,en,3.290192,1994-10-21,0.0,love_affair,4.3,11.0,0.0
17000000,28313,en,7.698526,1995-03-17,7603766.0,losing_isaiah,6.4,28.0,0.0
0,11318,en,4.81307,1994-12-28,0.0,the_madness_of_king_george,6.7,67.0,0.0
45000000,3036,en,14.287753,1994-11-04,112006296.0,mary_shelley's_frankenstein,6.1,272.0,0.0
0,40490,en,2.558118,1995-03-03,0.0,man_of_the_house,5.1,40.0,0.0
15000000,24070,en,2.899608,1994-12-21,0.0,mixed_nuts,5.2,37.0,0.0
0,8986,en,3.770115,1994-08-31,18137661.0,milk_money,5.6,49.0,0.0
0,10510,en,5.831622,1994-11-18,46264384.0,miracle_on_34th_street,6.4,199.0,0.0
6,17402,en,1.137266,1995-01-27,5.0,miami_rhapsody,5.6,7.0,0.0
5500000,38722,en,3.121288,1995-05-03,0.0,my_family,7.0,11.0,0.0
0,8438,en,9.518564,1995-01-20,17381942.0,murder_in_the_first,6.9,140.0,0.0
0,11593,en,2.891269,1994-12-23,0.0,nobody's_fool,7.0,56.0,0.0
31000000,1945,en,5.930957,1994-12-23,106683817.0,nell,6.1,128.0,0.0
0,39310,en,0.629955,1995-04-19,0.0,new_jersey_drive,6.9,7.0,0.0
0,109560,en,0.004537,1993-08-14,0.0,new_york_cop,0.0,0.0,0.0
4800000,56428,en,0.426952,1994-04-22,0.0,beyond_bedlam,4.0,4.0,0.0
0,63105,en,1.466491,1995-09-26,0.0,nemesis_2_-_nebula,4.6,10.0,0.0
0,131957,en,0.769522,1995-03-03,0.0,nina_takes_a_lover,7.4,4.0,0.0
34000000,241,en,11.226856,1994-08-25,50282766.0,natural_born_killers,6.9,927.0,0.0
0,9058,en,4.936761,1994-09-17,0.0,only_you,6.4,92.0,0.0
0,527,en,4.025276,1994-09-02,2201126.0,once_were_warriors,7.6,106.0,0.0
0,18220,en,6.448039,1996-01-16,0.0,poison_ivy_ii:_lily,4.6,32.0,0.0
50000000,6950,en,13.676444,1995-03-10,189859560.0,outbreak,6.4,522.0,0.0
16000000,101,fr,20.477329,1994-09-14,45284974.0,leon:_the_professional,8.2,4293.0,0.0
11000000,63020,en,1.433544,1995-05-12,2832826.0,the_perez_family,6.6,9.0,0.0
0,2307,en,0.463307,1995-04-28,0.0,a_pyromaniac's_love_story,7.0,2.0,0.0
8000000,680,en,140.950236,1994-09-10,213928762.0,pulp_fiction,8.3,8670.0,0.0
0,41478,en,7.160149,1995-11-10,6834525.0,panther,6.4,6.0,0.0
400000,25296,zh,1.638622,1992-02-01,152322.0,pushing_hands,6.1,9.0,0.0
0,40156,en,1.881932,1994-01-01,4176932.0,priest,6.4,32.0,0.0
0,11450,en,7.772505,1994-09-16,0.0,quiz_show,7.1,262.0,0.0
0,30304,en,1.296912,1995-05-05,0.0,picture_bride,7.4,5.0,0.0
0,10452,fr,4.405405,1994-05-13,0.0,queen_margot,7.0,67.0,0.0
32000000,12106,en,7.54701,1995-02-09,18552460.0,the_quick_and_the_dead,6.2,431.0,0.0
22000000,161495,sv,3.395867,1995-03-01,12400000.0,roommates,6.4,7.0,0.0
15000000,3586,en,6.259433,1994-12-23,11300653.0,prêt-à-porter,5.3,33.0,0.0
0,110,fr,7.832755,1994-05-27,0.0,three_colors:_red,7.8,246.0,0.0
0,108,fr,8.843517,1993-01-10,0.0,three_colors:_blue,7.7,311.0,0.0
0,109,fr,6.5898,1994-01-26,0.0,three_colors:_white,7.3,218.0,0.0
0,159185,zh,0.078257,1994-10-14,0.0,"red_firecracker,_green_firecracker",7.0,2.0,0.0
0,36357,en,1.155255,1995-01-01,0.0,rent-a-kid,5.1,15.0,0.0
0,92769,en,0.499601,1995-10-03,0.0,relative_fear,4.7,3.0,0.0
0,28033,en,1.390885,1995-04-12,0.0,stuart_saves_his_family,5.0,6.0,0.0
35000000,22586,en,8.910462,1994-11-18,9771658.0,the_swan_princess,6.5,251.0,0.0
